company_id,ticker,company_name,sector,industry,description,market_cap_b,revenue_b,beta,pe_ratio,supply_chain_sensitivity,investment_usd
1,AHF,Zenith Corp Inc.,Information Technology,Software,Zenith Corp develops enterprise SaaS platforms for workflow automation,258.92,47.19,1.12,5.0,HIGH,1000000
2,GPO,Wind Select Inc.,Information Technology,Semiconductors,Wind Select designs high-performance GPU and CPU semiconductor chips,0.5,32.67,1.31,20.1,MEDIUM,1000000
3,SIE,North Corp Inc.,Information Technology,Hardware & Equipment,North Corp manufactures networking hardware and switching equipment,236.47,0.1,1.51,42.5,MEDIUM,1000000
4,NZJO,Ultra Sciences Inc.,Information Technology,IT Services,Ultra Sciences provides managed cloud and IT outsourcing services,106.94,37.75,1.61,26.8,MEDIUM,1000000
5,ZWWJ,Quest Secure Inc.,Information Technology,Cloud Infrastructure,Quest Secure operates hyperscale data centre infrastructure,0.5,78.77,1.49,28.7,MEDIUM,1000000
6,PES,Horizon Networks Inc.,Information Technology,Software,Horizon Networks builds AI-powered analytics and business intelligence tools,0.5,0.1,0.74,75.3,MEDIUM,1000000
7,FAI,Metro Cast Inc.,Information Technology,Semiconductors,Metro Cast supplies semiconductor fabrication equipment,203.99,0.1,1.57,79.8,MEDIUM,1000000
8,XQDD,Zero Power Inc.,Information Technology,Hardware & Equipment,Zero Power develops cybersecurity software and threat detection systems,0.5,48.77,0.92,30.8,HIGH,1000000
9,NCB,Forge Dynamics Inc.,Information Technology,IT Services,Forge Dynamics provides ERP and supply chain management software,16.03,28.51,1.03,15.1,HIGH,1000000
10,NZWA,Wise Crest Inc.,Information Technology,Cloud Infrastructure,Wise Crest designs mobile processors and system-on-chip solutions,49.79,91.17,1.25,17.7,HIGH,1000000
11,EASS,Royal Sphere Inc.,Information Technology,Software,Royal Sphere develops enterprise SaaS platforms for workflow automation,195.67,0.1,1.69,73.8,MEDIUM,1000000
12,DTO,Silver Vision Inc.,Information Technology,Semiconductors,Silver Vision designs high-performance GPU and CPU semiconductor chips,536.69,34.04,1.67,38.1,MEDIUM,1000000
13,GGOC,World Optima Inc.,Information Technology,Hardware & Equipment,World Optima manufactures networking hardware and switching equipment,0.5,14.71,1.73,5.0,MEDIUM,1000000
14,GWL,Keystone Wave Inc.,Information Technology,IT Services,Keystone Wave provides managed cloud and IT outsourcing services,132.23,61.2,0.93,30.9,LOW,1000000
15,LNDF,North Bio Inc.,Information Technology,Cloud Infrastructure,North Bio operates hyperscale data centre infrastructure,94.28,38.85,1.22,31.1,MEDIUM,1000000
16,BAI,Safe Flow Inc.,Information Technology,Software,Safe Flow builds AI-powered analytics and business intelligence tools,0.5,0.44,1.34,58.4,MEDIUM,1000000
17,GMKC,Vertex Media Inc.,Information Technology,Semiconductors,Vertex Media supplies semiconductor fabrication equipment,123.78,7.4,1.21,52.7,MEDIUM,1000000
18,BSU,First Flow Inc.,Information Technology,Hardware & Equipment,First Flow develops cybersecurity software and threat detection systems,161.06,44.55,1.53,58.8,HIGH,1000000
19,LWO,Crown Select Inc.,Information Technology,IT Services,Crown Select provides ERP and supply chain management software,528.19,0.1,1.97,37.8,MEDIUM,1000000
20,KMW,Delta Edge Inc.,Information Technology,Cloud Infrastructure,Delta Edge designs mobile processors and system-on-chip solutions,46.6,107.15,0.77,74.0,HIGH,1000000
