department_code,department_name,fiscal_year,quarter,actual_spend_aed,approved_budget_aed,variance_aed,variance_pct,report_date,notes
IT,Information Technology,2025,Q1,3920000,4000000,-80000,-2.0,2025-04-15,On track
IT,Information Technology,2025,Q2,4080000,4000000,80000,2.0,2025-07-15,Minor cloud cost increase
IT,Information Technology,2025,Q3,4150000,4200000,-50000,-1.2,2025-10-15,On track
IT,Information Technology,2025,Q4,4390000,4200000,190000,4.5,2026-01-15,Year-end software renewals
HR,Human Resources,2025,Q1,2730000,2700000,30000,1.1,2025-04-15,On track
HR,Human Resources,2025,Q2,2840000,2700000,140000,5.2,2025-07-15,External training programme
HR,Human Resources,2025,Q3,2760000,2750000,10000,0.4,2025-10-15,On track
HR,Human Resources,2025,Q4,2820000,2750000,70000,2.5,2026-01-15,End-of-year bonuses
INF,Infrastructure & Facilities,2025,Q1,8050000,8200000,-150000,-1.8,2025-04-15,Contractor delays
INF,Infrastructure & Facilities,2025,Q2,8380000,8200000,180000,2.2,2025-07-15,HVAC maintenance brought forward
INF,Infrastructure & Facilities,2025,Q3,8470000,8500000,-30000,-0.4,2025-10-15,On track
INF,Infrastructure & Facilities,2025,Q4,9120000,8500000,620000,7.3,2026-01-15,Emergency generator replacement
COM,Communications & Media,2025,Q1,1140000,1100000,40000,3.6,2025-04-15,Campaign overrun
COM,Communications & Media,2025,Q2,1290000,1100000,190000,17.3,2025-07-15,National Day campaign scaled up
COM,Communications & Media,2025,Q3,1080000,1200000,-120000,-10.0,2025-10-15,Campaign deferred
COM,Communications & Media,2025,Q4,1210000,1200000,10000,0.8,2026-01-15,On track
POL,Policy & Research,2025,Q1,890000,900000,-10000,-1.1,2025-04-15,On track
POL,Policy & Research,2025,Q2,960000,900000,60000,6.7,2025-07-15,Additional research commissioned
POL,Policy & Research,2025,Q3,870000,950000,-80000,-8.4,2025-10-15,Contractor delayed
POL,Policy & Research,2025,Q4,930000,950000,-20000,-2.1,2026-01-15,On track
FIN,Finance & Procurement,2025,Q1,1680000,1650000,30000,1.8,2025-04-15,On track
FIN,Finance & Procurement,2025,Q2,1760000,1650000,110000,6.7,2025-07-15,External audit fees
FIN,Finance & Procurement,2025,Q3,1800000,1750000,50000,2.9,2025-10-15,On track
FIN,Finance & Procurement,2025,Q4,1950000,1750000,200000,11.4,2026-01-15,Year-end audit and system maintenance
